profile,h/mm,bf/mm,tw/mm,tf/mm,A/cm2,I/cm4
IPE240,240,120,6.2,9.8,39.1,3892
IPE270,270,135,6.6,10.2,45.9,5790
IPE300,300,150,7.1,10.7,53.8,8356
IPE330,330,160,7.5,11.5,62.6,11770
IPE360,360,170,8,12.7,72.7,16270
HE200B,200,200,9,15,78.1,5696
HE220B,220,220,9.5,16,91,8091
HE240B,240,240,10,17,106,11260
HE260B,260,260,10,17.5,118,14920
HE280B,280,280,10.5,18,131,19270
HE300B,300,300,11,19,149,25170
HE320B,320,300,11.5,20.5,161,30820
HE340B,340,300,12,21.5,171,36660
HE360B,360,300,12.5,22.5,181,43190
HE400B,400,300,13.5,24,198,57680
HE450B,450,300,14,26,218,79890
HE500B,500,300,14.5,28,239,107200
HE550B,550,300,15,29,254,136700
HE600B,600,300,15.5,30,270,171000
HE650B,650,300,16,31,286,210600
